,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name,lpk
0,18.0,8,307.0,130.0,3504,12.0,70,USA,chevrolet chevelle malibu,7.65
1,15.0,8,350.0,165.0,3693,11.5,70,USA,buick skylark 320,6.38
2,18.0,8,318.0,150.0,3436,11.0,70,USA,plymouth satellite,7.65
3,16.0,8,304.0,150.0,3433,12.0,70,USA,amc rebel sst,6.8
4,17.0,8,302.0,140.0,3449,10.5,70,USA,ford torino,7.23
5,15.0,8,429.0,198.0,4341,10.0,70,USA,ford galaxie 500,6.38
6,14.0,8,454.0,220.0,4354,9.0,70,USA,chevrolet impala,5.95
7,14.0,8,440.0,215.0,4312,8.5,70,USA,plymouth fury iii,5.95
8,14.0,8,455.0,225.0,4425,10.0,70,USA,pontiac catalina,5.95
9,15.0,8,390.0,190.0,3850,8.5,70,USA,amc ambassador dpl,6.38
10,15.0,8,383.0,170.0,3563,10.0,70,USA,dodge challenger se,6.38
11,14.0,8,340.0,160.0,3609,8.0,70,USA,plymouth 'cuda 340,5.95
12,15.0,8,400.0,150.0,3761,9.5,70,USA,chevrolet monte carlo,6.38
13,14.0,8,455.0,225.0,3086,10.0,70,USA,buick estate wagon (sw),5.95
14,24.0,4,113.0,95.0,2372,15.0,70,JAPAN,toyota corona mark ii,10.2
15,22.0,6,198.0,95.0,2833,15.5,70,USA,plymouth duster,9.35
16,18.0,6,199.0,97.0,2774,15.5,70,USA,amc hornet,7.65
17,21.0,6,200.0,85.0,2587,16.0,70,USA,ford maverick,8.93
18,27.0,4,97.0,88.0,2130,14.5,70,JAPAN,datsun pl510,11.48
19,26.0,4,97.0,46.0,1835,20.5,70,EU,volkswagen 1131 deluxe sedan,11.05
20,25.0,4,110.0,87.0,2672,17.5,70,EU,peugeot 504,10.63
21,24.0,4,107.0,90.0,2430,14.5,70,EU,audi 100 ls,10.2
22,25.0,4,104.0,95.0,2375,17.5,70,EU,saab 99e,10.63
23,26.0,4,121.0,113.0,2234,12.5,70,EU,bmw 2002,11.05
24,21.0,6,199.0,90.0,2648,15.0,70,USA,amc gremlin,8.93
25,10.0,8,360.0,215.0,4615,14.0,70,USA,ford f250,4.25
26,10.0,8,307.0,200.0,4376,15.0,70,USA,chevy c20,4.25
27,11.0,8,318.0,210.0,4382,13.5,70,USA,dodge d200,4.68
28,9.0,8,304.0,193.0,4732,18.5,70,USA,hi 1200d,3.83
29,27.0,4,97.0,88.0,2130,14.5,71,JAPAN,datsun pl510,11.48
30,28.0,4,140.0,90.0,2264,15.5,71,USA,chevrolet vega 2300,11.9
31,25.0,4,113.0,95.0,2228,14.0,71,JAPAN,toyota corona,10.63
32,25.0,4,98.0,104.0,2046,19.0,71,USA,ford pinto,10.63
33,19.0,6,232.0,100.0,2634,13.0,71,USA,amc gremlin,8.08
34,16.0,6,225.0,105.0,3439,15.5,71,USA,plymouth satellite custom,6.8
35,17.0,6,250.0,100.0,3329,15.5,71,USA,chevrolet chevelle malibu,7.23
36,19.0,6,250.0,88.0,3302,15.5,71,USA,ford torino 500,8.08
37,18.0,6,232.0,100.0,3288,15.5,71,USA,amc matador,7.65
38,14.0,8,350.0,165.0,4209,12.0,71,USA,chevrolet impala,5.95
39,14.0,8,400.0,175.0,4464,11.5,71,USA,pontiac catalina brougham,5.95
40,14.0,8,351.0,153.0,4154,13.5,71,USA,ford galaxie 500,5.95
41,14.0,8,318.0,150.0,4096,13.0,71,USA,plymouth fury iii,5.95
42,12.0,8,383.0,180.0,4955,11.5,71,USA,dodge monaco (sw),5.1
43,13.0,8,400.0,170.0,4746,12.0,71,USA,ford country squire (sw),5.53
44,13.0,8,400.0,175.0,5140,12.0,71,USA,pontiac safari (sw),5.53
45,18.0,6,258.0,110.0,2962,13.5,71,USA,amc hornet sportabout (sw),7.65
46,22.0,4,140.0,72.0,2408,19.0,71,USA,chevrolet vega (sw),9.35
47,19.0,6,250.0,100.0,3282,15.0,71,USA,pontiac firebird,8.08
48,18.0,6,250.0,88.0,3139,14.5,71,USA,ford mustang,7.65
49,23.0,4,122.0,86.0,2220,14.0,71,USA,mercury capri 2000,9.78
50,28.0,4,116.0,90.0,2123,14.0,71,EU,opel 1900,11.9
51,30.0,4,79.0,70.0,2074,19.5,71,EU,peugeot 304,12.75
52,30.0,4,88.0,76.0,2065,14.5,71,EU,fiat 124b,12.75
53,31.0,4,71.0,65.0,1773,19.0,71,JAPAN,toyota corolla 1200,13.18
54,35.0,4,72.0,69.0,1613,18.0,71,JAPAN,datsun 1200,14.88
55,27.0,4,97.0,60.0,1834,19.0,71,EU,volkswagen model 111,11.48
56,26.0,4,91.0,70.0,1955,20.5,71,USA,plymouth cricket,11.05
57,24.0,4,113.0,95.0,2278,15.5,72,JAPAN,toyota corona hardtop,10.2
58,25.0,4,97.5,80.0,2126,17.0,72,USA,dodge colt hardtop,10.63
59,23.0,4,97.0,54.0,2254,23.5,72,EU,volkswagen type 3,9.78
60,20.0,4,140.0,90.0,2408,19.5,72,USA,chevrolet vega,8.5
61,21.0,4,122.0,86.0,2226,16.5,72,USA,ford pinto runabout,8.93
62,13.0,8,350.0,165.0,4274,12.0,72,USA,chevrolet impala,5.53
63,14.0,8,400.0,175.0,4385,12.0,72,USA,pontiac catalina,5.95
64,15.0,8,318.0,150.0,4135,13.5,72,USA,plymouth fury iii,6.38
65,14.0,8,351.0,153.0,4129,13.0,72,USA,ford galaxie 500,5.95
66,17.0,8,304.0,150.0,3672,11.5,72,USA,amc ambassador sst,7.23
67,11.0,8,429.0,208.0,4633,11.0,72,USA,mercury marquis,4.68
68,13.0,8,350.0,155.0,4502,13.5,72,USA,buick lesabre custom,5.53
69,12.0,8,350.0,160.0,4456,13.5,72,USA,oldsmobile delta 88 royale,5.1
70,13.0,8,400.0,190.0,4422,12.5,72,USA,chrysler newport royal,5.53
71,19.0,3,70.0,97.0,2330,13.5,72,JAPAN,mazda rx2 coupe,8.08
72,15.0,8,304.0,150.0,3892,12.5,72,USA,amc matador (sw),6.38
