연번,지번주소,도로명 주소,위도,경도
1,서울특별시 강남구 역삼1동 694-6,"서울특별시 강남구 테헤란로57길 38 (역삼동, 동우빌라)",37.5067486779,127.0463745363
2,서울특별시 강남구 역삼1동 698-14,서울특별시 강남구 테헤란로 53길 51 (역삼동),37.5068409001,127.0443692184
3,서울특별시 강남구 역삼1동 697-4,서울특별시 강남구 테헤란로 53길 37 (역삼동),37.5062405492,127.0453479614
4,서울특별시 강남구 역삼1동 695-20,서울특별시 강남구 테헤란로55길50 (역삼동),37.5070938247,127.0450505713
5,서울특별시 강남구 역삼1동683-29,서울특별시 강남구봉은사로50길41 (역삼동),37.5078620891,127.0446350458
6,서울특별시 강남구 역삼1동 683-6,서울특별시 강남구 봉은사로50길27,37.5084117808,127.0437013743
7,서울특별시 강남구 역삼1동 681-46,서울특별시 강남구 선릉로107길 24 (역삼동),37.5092690379,127.0420994223
8,서울특별시 강남구 역삼1동 687-5,서울특별시 강남구 언주로108길12 (역삼동),37.5082905575,127.0405231341
9,서울특별시 강남구 역삼1동 687-3,서울특별시 강남구 언주로106길 11 ,37.5079947986,127.0406659347
10,서울특별시 강남구 역삼1동 690-2,서울특별시 강남구 봉은사로44길39 (역삼동),37.5068827231,127.0413441576
11,서울특별시 강남구 역삼1동 690-16,서울특별시 강남구 언주로100길11 (역삼동),37.5065944798,127.0418889123
12,서울특별시 강남구 역삼1동 690-29,서울특별시 강남구 봉은사로48길32,37.5074037013,127.0420612777
13,서울특별시 강남구 역삼1동 685-14,서울특별시 강남구 언주로106길32,37.5082354917,127.0423616910
14,서울특별시 강남구 역삼1동 693,서울특별시 강남구 테헤란로53길70,37.5077987426,127.0431966979
15,서울특별시 강남구 역삼1동 692-7,서울특별시 강남구 봉은사로48길53 (역삼동),37.5067181797,127.0436532244
16,서울특별시 강남구 역삼1동 692-6,서울특별시 강남구 봉은사로48길49 (역삼동),37.5068316852,127.0434662232
17,서울특별시 강남구 역삼1동 704-43,서울특별시 강남구 테헤란로47길19,37.5048914264,127.0452374413
18,서울특별시 강남구 역삼동 760,서울특별시 강남구 언주로70길12(역삼동),37.4970353079,127.0465711776
19,서울특별시 강남구 역삼동 760-7,"서울특별시 강남구 언주로70길18-8 (역삼동, 현대트라움아파트)",37.4966557041,127.0472764765
20,서울특별시 강남구 역삼동 758,서울특별시 강남구 언주로70길30 (역삼동),37.4974470278,127.0480217582
21,서울특별시 강남구 역삼동 766,서울특별시 강남구도곡로51길10 (역삼동),37.4959229413,127.0496298469
22,서울특별시 강남구 역삼동 766-1,서울특별시 강남구 도곡로51길 6 (역삼동),37.4958136115,127.0497193365
23,서울특별시 강남구 역삼동 776-8,서울특별시 강남구 논현로64길 7 (역삼동),37.4939744309,127.0409119713
24,서울특별시 강남구 역삼동 784-7,서울특별시 강남구 언주로 307 (역삼동),37.4948857027,127.0458379768
25,서울특별시 강남구 역삼동 783-19,서울특별시 강남구 도곡로 37길 15 (역삼동),37.4948620577,127.0447637977
26,서울특별시 강남구 역삼동 779-10,서울특별시 강남구 언주로 65길 6 (역삼동),37.4956642373,127.0452023603
27,서울특별시 강남구 역삼동 783-18,서울특별시 강남구 언주로65길13 (역삼동),37.4951038340,127.0449058602
28,서울특별시 강남구 역삼동 781-40,서울특별시 강남구 논현로66길 11(역삼동),37.4942471430,127.0412363231
29,서울특별시 강남구 역삼동 773-3,서울특별시 강남구 언주로333 (역삼동),37.4975740017,127.0447529770
30,서울특별시 강남구 역삼동 774-37,서울특별시 강남구 언주로71길 13 (역삼동),37.4971510327,127.0438896574
31,서울특별시 강남구 역삼동 771-12,서울특별시 강남구 언주로71길 20 (역삼동),37.4972541433,127.0433054051
32,서울특별시 강남구 역삼동 771-16,서울특별시 강남구 언주로71길 28 (역삼동),37.4969889128,127.0427396004
33,서울특별시 강남구 역삼동 725-57,서울특별시 강남구 테헤란로28길 41 (역삼동),37.4984648733,127.0398413356
34,서울특별시 강남구 역삼동 725-13,서울특별시 강남구 테헤란로30길22 (역삼동),37.4995896924,127.0395645260
35,서울특별시 강남구 역삼동 725-19,서울특별시 강남구 테헤란로 30길 27 (역삼동),37.4995448915,127.0398944958
36,서울특별시 강남구 역삼동 728-40,서울특별시 강남구 논현로76길 25 (역삼동),37.4976614872,127.0407765831
37,서울특별시 강남구 역삼동 728-31,서울특별시 강남구 논현로 80길 28 (역삼동),37.4984502789,127.0406293200
38,서울특별시 강남구 역삼동 723-13,서울특별시 강남구 테헤란로34길 27 (역삼동),37.4998789951,127.0409174544
39,서울특별시 강남구 역삼동 724,서울특별시 강남구 테헤란로34길 35 (역삼동),37.4992643489,127.0411189820
40,서울특별시 강남구 역삼동 724-1,서울특별시 강남구 테헤란로34길 33-4 (역삼동),37.4993397987,127.0412753118
41,서울특별시 강남구 역삼동 724-21,서울특별시 강남구 테헤란로 38길 40-11 (역삼동),37.4995605264,127.0420946497
42,서울특별시 강남구 역삼동 725-36,서울특별시 강남구 논현로80길 33 (역삼동),37.4987959368,127.0410584493
43,서울특별시 강남구 역삼동 729-25,서울특별시 강남구 역삼로33길 12 (역삼동),37.4980812054,127.0417244780
44,서울특별시 강남구 역삼동 732-27,서울특별시 강남구 역삼로 233 (역삼동),37.4974230961,127.0420188133
45,서울특별시 강남구 역삼동 607-15,서울특별시 강남구 봉은사로15길37 (역삼동),37.5047851991,127.0342546569
46,서울특별시 강남구 역삼동 608-26,서울특별시 강남구 논현로101길 20 (역삼동),37.5041989000,127.0333620620
47,서울특별시 강남구 역삼동 608,서울특별시 강남구 봉은사로 20길 41 (역삼동),37.5044789837,127.0328578899
48,서울특별시 강남구 역삼동 613-24,서울특별시 강남구 봉은사로20길18 (역삼동),37.5051652204,127.0310784899
49,서울특별시 강남구 역삼동 613-6,서울특별시 강남구 봉은사로18길 25 (역삼동),37.5045649534,127.0301013134
50,서울특별시 강남구 역삼동 615-46,서울특별시 강남구 봉은사로16길 38 (역삼동),37.5041706329,127.0284469013
51,서울특별시 강남구 역삼동 619-11,서울특별시 강남구 봉은사로 18길 70 (역삼동),37.5022146211,127.0277682800
52,서울특별시 강남구 역삼동 619-24,서울특별시 강남구 봉은사로18길 82 (역삼동),37.5013828810,127.0274755168
